conversion_line,base_line,lagging_span,leading_line1,leading_line2
9284.625,9268.365,9329.75,9164.732,9166.81
9306.185,9289.275,9337.8,9166.895,9166.81
9307.22,9289.46,9338.14,9166.895,9166.81
9315.575,9289.46,9328.14,9168.36,9166.81
9370.14,9289.46,9364.31,9167.395,9166.81
9374.115,9289.46,9366.1,9167.395,9166.81
9375.38,9289.46,9373.88,9170.795,9166.81
9378.04,9289.46,9367.71,9174.467,9166.81
9378.04,9289.46,9374.25,9176.922,9166.81
9378.04,9289.46,9500.0,9176.922,9166.81
9369.175,9289.46,9518.16,9177.015,9166.81
9355.09,9294.705,9506.69,9177.015,9166.81
9355.585,9295.265,9517.0,9177.015,9166.81
9367.72,9295.265,9499.03,9177.015,9166.81
9367.72,9301.045,9491.99,9174.328,9166.81
9367.72,9301.045,9498.83,9168.522,9166.81
9368.63,9301.045,9489.68,9167.8,9166.81
9360.315,9305.535,9492.0,9167.8,9166.81
9360.315,9306.185,9491.67,9171.548,9166.81
9326.91,9307.22,9516.32,9174.17,9166.81
9326.91,9315.575,9501.41,9247.45,9227.175
9323.995,9349.365,9490.98,9247.45,9227.175
9318.31,9349.365,9507.01,9250.34,9227.175
9315.5,9349.365,9489.33,9250.34,9227.175
9314.25,9349.365,9498.15,9250.34,9227.175
9310.905,9349.365,9493.85,9276.495,9248.63
9310.905,9349.365,9524.99,9297.73,9269.54
9310.905,9340.5,9619.28,9298.34,9273.865
9322.9,9326.91,9609.14,9302.518,9273.865
9337.85,9326.91,9582.2,9329.8,9277.02
9345.18,9326.91,9595.8,9331.787,9277.02
9348.055,9326.91,9578.99,9332.42,9277.02
9348.275,9326.91,9604.94,9333.75,9277.02
9348.275,9326.91,9592.03,9333.75,9284.365
9427.555,9402.5,9603.27,9333.75,9284.365
9434.635,9402.5,9583.56,9329.318,9284.365
9434.635,9402.5,9571.98,9324.898,9284.365
9436.01,9402.5,9569.32,9325.425,9284.365
9449.155,9402.5,9561.55,9331.492,9284.365
9450.7,9402.5,9535.27,9334.382,9284.365
9452.0,9402.5,9547.77,9334.382,9284.365
9452.0,9402.5,9474.5,9334.838,9284.365
9456.375,9402.5,9508.02,9332.925,9284.365
9497.35,9402.5,9505.07,9333.25,9284.365
9497.35,9402.5,9526.29,9317.065,9284.365
9494.0,9417.61,9540.85,9321.242,9284.365
9494.0,9423.85,9532.09,9336.68,9284.365
9494.0,9427.555,9521.35,9333.838,9284.365
9494.5,9427.555,9503.97,9332.432,9284.365
9494.5,9427.555,9537.78,9331.807,9284.365
9512.665,9448.055,9551.68,9330.135,9284.365
9512.665,9448.055,9575.73,9330.135,9289.275
9530.165,9472.635,9557.44,9325.702,9289.275
9552.165,9494.635,9580.01,9324.905,9289.46
9552.165,9496.01,9581.76,9332.38,9289.46
9552.165,9509.155,9615.29,9336.045,9289.46
9552.165,9510.7,9591.55,9337.482,9289.46
9552.165,9512.0,9533.92,9337.592,9289.46
9552.165,9512.0,9537.8,9337.592,9289.46
9570.5,9516.375,9537.58,9415.028,9342.595
9587.335,9552.165,9564.74,9418.568,9342.595
9608.295,9552.165,9571.8,9418.568,9342.595
9584.935,9552.165,9581.58,9419.255,9347.84
9572.875,9552.165,9584.81,9425.828,9348.4
9568.655,9552.165,9587.29,9426.6,9348.4
9559.415,9552.165,9589.01,9427.25,9354.18
9539.045,9552.165,9568.5,9427.25,9354.18
