time,open,volume
1584702000000,6824.25,100081243.85
1584705600000,6659.99,68039212.71
1584709200000,6613.52,82471070.73
1584712800000,6545.13,71159699.05
1584716400000,6604.26,37820165.41
1584720000000,6614.66,86187601.51
1584723600000,6438.18,37129408.61
1584727200000,6415.9,67933858.61
1584730800000,6193.66,36987362.5
1584734400000,6187.59,143076895.07
1584738000000,5963.79,65062208.65
1584741600000,6239.19,66669137.34
1584745200000,6162.1,32631644.99
1584748800000,6208.36,39316583.92
1584752400000,6140.88,27721633.66
1584756000000,6285,42629842.11
1584759600000,6278.37,32325181.85
1584763200000,6267.45,23764181.89
1584766800000,6174.87,25609083.46
1584770400000,6112.18,26858113.52
1584774000000,6227.72,23102280.28
1584777600000,6151.16,30146238.03
1584781200000,6112.51,47562840.11
1584784800000,5976.4,24341600.32
1584788400000,5974.53,43204517.17
1584792000000,6118.72,47327119.49
1584795600000,6130.3,39280928.82
1584799200000,6161.2,25899810.32
1584802800000,6182.8,28667113.17
1584806400000,6212.08,35899064.74
1584810000000,6133.75,22657961.24
1584813600000,6066.77,33120716.03
1584817200000,6210.51,23841612.12
1584820800000,6216.27,34670511.4
1584824400000,6325.25,67016378.21
1584828000000,6179.43,33425793.24
1584831600000,6153.94,16573031.55
1584835200000,6186.98,18359334.96
1584838800000,6191.2,25016982.28
1584842400000,6255,22772794.15
1584846000000,6264.55,16512258.52
1584849600000,6351.93,15749905.31
1584853200000,6296.11,14739569.92
1584856800000,6358.88,22342603.34
1584860400000,6305.86,13318078.66
1584864000000,6289.34,19147562.87
1584867600000,6241.11,18074973.2
1584871200000,6306.31,29174901.64
1584874800000,6254.5,23375373.3
1584878400000,6153.57,82388281.3
1584882000000,6018.05,33069463.21
1584885600000,6064.27,23129632.08
1584889200000,6064.45,32632384.67
1584892800000,6076.14,28531430.61
1584896400000,6039.94,30842256.97
1584900000000,6016.75,46977594.31
1584903600000,5990.12,26220149.74
1584907200000,5911.03,51213061.08
1584910800000,5922.9,45759057.76
1584914400000,6050.56,38191663.34
1584918000000,5871.86,45356340.29
1584921600000,5816.19,65038799.66
1584925200000,5903.84,23998200.4
1584928800000,5871.48,17109953.34
1584932400000,5897.53,23623964.77
1584936000000,5955.36,18696383.78
1584939600000,5901.94,13737983.11
1584943200000,5875.37,15358611.65
1584946800000,5913,17999448.17
1584950400000,5855.59,28107339.62
1584954000000,5768,29096771.76
1584957600000,5790.81,19579871.62
1584961200000,5863.53,26467031.09
1584964800000,5843.29,164221999.71
1584968400000,6323.91,174433543.33
1584972000000,6287.11,55037976.51
1584975600000,6223.56,34252186.09
1584979200000,6231.74,53790684.39
1584982800000,6379,36741080.1
1584986400000,6276.85,29403911.33
1584990000000,6258.41,19309892.8
1584993600000,6266.28,42583309.74
1584997200000,6392.01,38119103.07
1585000800000,6444.06,28718622.99
1585004400000,6446.48,40099003.05
1585008000000,6467.31,82579193.88
1585011600000,6576.56,39220868.48
1585015200000,6540.03,29946360.35
1585018800000,6605.03,31044864.02
1585022400000,6522.52,44823805.78
1585026000000,6425.74,25425369.64
1585029600000,6476.63,26144730.99
1585033200000,6560.29,27469889.69
1585036800000,6566.06,95131712.18
1585040400000,6715.72,48892903.84
1585044000000,6766.55,47707667.44
1585047600000,6716.16,41325244.54
