adx,DI_plus,DI_minus
13.13,0.66,0.51
13.72,0.61,0.51
14.12,0.64,0.48
14.19,0.59,0.48
14.6,0.55,0.45
14.58,0.5,0.5
14.54,0.47,0.59
14.66,0.43,0.57
15.66,0.4,0.64
15.92,0.41,0.59
15.03,0.46,0.55
14.15,0.42,0.51
12.94,0.39,0.5
10.93,0.46,0.46
10.33,0.42,0.46
10.04,0.46,0.43
9.23,0.43,0.4
8.69,0.4,0.38
8.1,0.37,0.38
9.3,0.5,0.35
9.72,0.47,0.33
9.41,0.43,0.36
8.92,0.46,0.33
9.46,0.52,0.31
10.32,0.48,0.31
11.49,0.49,0.29
12.08,0.45,0.3
13.29,0.42,0.29
13.67,0.39,0.32
14.41,0.4,0.3
16.11,0.48,0.28
17.41,0.45,0.29
18.04,0.41,0.33
17.83,0.41,0.31
17.61,0.38,0.29
17.03,0.36,0.35
16.54,0.39,0.32
15.69,0.39,0.3
15.21,0.37,0.28
14.14,0.35,0.28
13.32,0.32,0.38
13.5,0.3,0.45
13.76,0.32,0.42
13.37,0.32,0.39
11.56,0.38,0.36
10.21,0.35,0.34
9.96,0.32,0.37
9.1,0.33,0.35
8.24,0.31,0.32
9.01,0.28,0.36
9.91,0.26,0.41
10.09,0.28,0.38
10.17,0.26,0.35
11.8,0.24,0.48
14.35,0.22,0.58
16.69,0.21,0.68
19.52,0.2,0.64
23.31,0.18,0.79
26.54,0.26,0.74
28.77,0.34,0.69
30.26,0.36,0.64
31.89,0.35,0.59
33.82,0.33,0.6
34.85,0.33,0.56
34.19,0.4,0.52
33.73,0.4,0.48
33.04,0.39,0.45
30.77,0.43,0.41
27.72,0.4,0.38
24.72,0.37,0.46
21.62,0.35,0.43
17.41,0.37,0.39
14.63,0.43,0.36
12.75,0.4,0.35
10.86,0.37,0.38
9.21,0.34,0.36
7.64,0.32,0.37
6.9,0.29,0.4
7.7,0.27,0.44
8.65,0.26,0.41
10.48,0.24,0.46
12.76,0.22,0.45
15.44,0.21,0.47
16.63,0.25,0.44
17.91,0.23,0.41
20.08,0.22,0.43
20.61,0.29,0.4
20.19,0.37,0.37
20.15,0.34,0.35
20.89,0.31,0.4
21.64,0.29,0.42
22.51,0.27,0.48
22.82,0.25,0.45
23.9,0.24,0.53
23.48,0.29,0.49
22.92,0.27,0.46
22.31,0.25,0.47
23.49,0.23,0.6
24.67,0.22,0.56
26.08,0.2,0.67
28.73,0.19,0.62
32.89,0.18,0.7
36.66,0.2,0.65
38.52,0.27,0.6
40.0,0.25,0.56
41.23,0.23,0.61
42.2,0.24,0.57
41.55,0.29,0.53
39.93,0.46,0.49
38.56,0.43,0.49
36.93,0.4,0.47
34.41,0.37,0.44
32.17,0.34,0.44
29.28,0.32,0.41
27.25,0.29,0.48
24.58,0.29,0.45
22.29,0.27,0.42
21.84,0.25,0.48
21.31,0.24,0.45
19.19,0.31,0.42
16.72,0.34,0.39
14.78,0.35,0.36
14.77,0.35,0.33
14.57,0.33,0.35
14.33,0.36,0.33
15.51,0.51,0.3
16.75,0.52,0.28
17.99,0.49,0.26
17.69,0.45,0.3
17.38,0.42,0.29
17.17,0.4,0.27
15.93,0.37,0.28
15.19,0.39,0.25
15.41,0.36,0.25
15.09,0.33,0.32
15.47,0.34,0.29
16.58,0.4,0.27
17.56,0.37,0.26
18.06,0.34,0.27
17.08,0.32,0.25
14.93,0.29,0.29
12.78,0.27,0.27
12.04,0.25,0.31
12.07,0.23,0.34
12.29,0.22,0.34
12.4,0.23,0.31
11.87,0.22,0.29
11.77,0.21,0.29
11.67,0.27,0.27
11.43,0.27,0.25
10.4,0.25,0.23
9.24,0.23,0.23
9.14,0.26,0.21
9.28,0.26,0.2
9.53,0.24,0.22
10.6,0.22,0.3
10.37,0.25,0.28
9.12,0.26,0.26
7.58,0.24,0.24
6.44,0.22,0.23
5.88,0.21,0.23
5.45,0.19,0.24
5.44,0.22,0.22
5.43,0.22,0.21
